year,month,mean_temp,total_precip,wet_days,gust_max,temp_range_mean,precip_intensity_mm_per_wetday
2020,1,-4.783870967741936,119.4,26,105.0,7.964516129032258,4.592307692307693
2020,2,-4.3,120.9,20,84.0,8.89310344827586,6.045
2020,3,-3.1258064516129034,152.1,23,78.0,8.09032258064516,6.613043478260869
2020,4,1.3241379310344827,104.3,14,80.0,7.2379310344827585,7.45
2020,5,6.610714285714286,101.4,14,77.0,9.75,7.242857142857143
2020,6,14.18888888888889,167.29999999999998,17,59.0,9.503703703703705,9.841176470588234
2020,7,14.229032258064517,129.3,12,50.0,7.732258064516128,10.775
2020,8,17.141935483870967,120.4,12,59.0,10.138709677419355,10.033333333333333
2020,9,14.236666666666668,102.60000000000001,10,65.0,9.486666666666668,10.260000000000002
2020,10,8.580645161290322,94.0,18,68.0,7.880645161290322,5.222222222222222
2020,11,3.5166666666666666,155.8,18,84.0,8.353333333333333,8.655555555555557
2020,12,2.096774193548387,169.1,22,82.0,6.512903225806451,7.6863636363636365
2021,1,-1.3225806451612903,99.4,22,78.0,4.364516129032259,4.5181818181818185
2021,2,-2.567857142857143,133.8,20,72.0,5.603571428571429,6.69
2021,3,-0.8838709677419355,98.8,16,72.0,8.216129032258063,6.175
2021,4,3.7,261.5,21,67.0,6.596666666666667,12.452380952380953
2021,5,7.170967741935484,24.8,10,68.0,9.5,2.48
2021,6,13.25,69.6,9,60.0,11.94,7.7333333333333325
2021,7,15.05,96.6,15,65.0,9.007692307692308,6.4399999999999995
2021,8,16.967741935483872,78.7,14,76.0,9.474193548387097,5.621428571428572
2021,9,14.2,116.89999999999999,15,116.0,9.46,7.793333333333333
2021,10,7.67,129.3,22,87.0,5.943333333333333,5.877272727272728
2021,11,5.066666666666666,161.9,18,73.0,7.38,8.994444444444445
2021,12,-1.01,136.9,22,97.0,6.343333333333333,6.222727272727273
2022,1,-1.9258064516129034,256.1,24,82.0,8.509677419354839,10.670833333333334
2022,2,-2.2285714285714286,174.4,18,93.0,8.375,9.68888888888889
2022,3,-1.3766666666666665,114.9,24,88.0,7.596666666666667,4.7875000000000005
2022,4,2.9,144.2,18,63.0,7.013333333333334,8.011111111111111
2022,5,6.717241379310345,92.6,11,60.0,11.203448275862069,8.418181818181818
2022,6,12.933333333333334,75.3,10,66.0,9.436666666666667,7.529999999999999
2022,7,18.41290322580645,64.5,10,56.0,10.635483870967741,6.45
2022,8,18.506451612903227,110.5,12,49.0,8.55483870967742,9.208333333333334
2022,9,14.43,247.2,18,69.0,6.6033333333333335,13.733333333333333
2022,10,10.348387096774195,47.2,7,57.0,9.170967741935485,6.742857142857143
2022,11,3.3733333333333335,135.9,23,85.0,7.0633333333333335,5.908695652173913
2022,12,0.9870967741935484,137.2,25,67.0,4.035483870967742,5.4879999999999995
2023,1,-0.7964285714285714,155.3,21,70.0,6.753571428571428,7.395238095238096
2023,2,-6.876,103.8,20,86.0,8.1,5.1899999999999995
2023,3,-2.0266666666666664,77.0,14,85.0,5.13,5.5
2023,4,1.3833333333333333,73.2,20,67.0,6.1466666666666665,3.66
2023,5,6.009677419354839,90.2,13,62.0,8.80967741935484,6.938461538461539
2023,6,10.744827586206897,101.3,15,56.0,8.348275862068965,6.753333333333333
2023,7,19.470967741935485,60.6,9,46.0,9.3,6.733333333333333
2023,8,16.112903225806452,121.19999999999999,15,57.0,7.738709677419355,8.08
2023,9,14.443333333333333,84.39999999999999,16,58.0,7.956666666666666,5.2749999999999995
2023,10,9.266666666666667,117.8,22,60.0,6.796666666666667,5.3545454545454545
2023,11,1.91,172.3,18,70.0,5.91,9.572222222222223
2023,12,0.529032258064516,64.8,18,69.0,6.012903225806451,3.5999999999999996
2024,1,-3.8806451612903223,62.2,15,71.0,5.796774193548386,4.1466666666666665
2024,2,-2.007142857142857,169.4,17,82.0,5.3428571428571425,9.964705882352941
2024,3,0.0033333333333333067,146.8,20,69.0,6.85,7.340000000000001
2024,4,3.282758620689655,89.8,23,66.0,6.093103448275863,3.904347826086956
2024,5,6.770967741935484,60.2,16,49.0,8.341935483870968,3.7625
2024,6,14.055172413793104,193.4,18,63.0,9.220689655172414,10.744444444444445
2024,7,18.317241379310346,69.4,12,50.0,9.403448275862068,5.783333333333334
2024,8,18.33,88.0,13,55.0,9.5,6.769230769230769
2024,9,14.05925925925926,48.1,16,56.0,7.5888888888888895,3.00625
2024,10,8.893548387096773,151.8,22,61.0,6.787096774193548,6.9
2024,11,5.955172413793103,282.5,25,71.0,4.427586206896552,11.3
2024,12,0.9344827586206897,175.20000000000002,19,91.0,6.26896551724138,9.221052631578948
2025,1,-1.6451612903225807,115.0,26,83.0,5.72258064516129,4.423076923076923
2025,2,-4.039285714285714,104.0,19,83.0,6.828571428571428,5.473684210526316
2025,3,0.9933333333333333,83.5,17,71.0,7.6899999999999995,4.911764705882353
2025,4,3.0517241379310347,118.89999999999999,17,71.0,8.079310344827586,6.994117647058823
2025,5,6.665517241379311,37.4,17,62.0,9.927586206896551,2.1999999999999997
2025,6,14.142857142857142,35.6,11,67.0,11.85,3.2363636363636363
2025,7,18.593548387096774,48.5,11,61.0,10.935483870967742,4.409090909090909
2025,8,16.677419354838708,76.39999999999999,8,60.0,11.361290322580645,9.549999999999999
2025,9,12.996666666666666,35.4,13,54.0,10.139999999999999,2.723076923076923
2025,10,7.9,12.799999999999999,7,67.0,8.8,1.8285714285714285
